,Unnamed: 0,statement,status
0,0,oh my gosh,Anxiety
1,1,"trouble sleeping, confused mind, restless heart. All out of tune",Anxiety
2,2,"All wrong, back off dear, forward doubt. Stay in a restless and restless place",Anxiety
3,3,I've shifted my focus to something else but I'm still worried,Anxiety
4,4,"I'm restless and restless, it's been a month now, boy. What do you mean?",Anxiety
5,5,"every break, you must be nervous, like something is wrong, but what the heck",Anxiety
6,6,"I feel scared, anxious, what can I do? And may my family or us be protected :)",Anxiety
7,7,Have you ever felt nervous but didn't know why?,Anxiety
8,8,"I haven't slept well for 2 days, it's like I'm restless. why huh :([].",Anxiety
9,9,"I'm really worried, I want to cry.",Anxiety
10,10,"always restless every night, even though I don't know why, what's wrong. strange.",Anxiety
11,11,"I'm confused, I'm not feeling good lately. Every time I want to sleep, I always feel restless",Anxiety
12,12,"sometimes what is needed when there is a problem is to laugh until you forget that there is a problem, when you remember it, you feel restless like that well, it turns out that I still have a sad burden blah blah blah",Anxiety
13,13,Because this worry is you.,Anxiety
14,14,Sometimes it's your own thoughts that make you anxious and afraid to close your eyes until you don't sleep,Anxiety
15,15,"Every time I wake up, I'm definitely nervous and excited, until when are you going to try ™‚",Anxiety
16,16,"I can only hope, even though I'm worried if it starts like this....",Anxiety
17,17,"restive = restless, restless",Anxiety
18,18,"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""",Anxiety
19,19,"If the guy is sick, the girl actually feels sick indirectly. He must be feeling restless and restless. :')",Anxiety
20,20,"I've been the most anxious person before I became the most sincere person, I've also been the most worried person before it all ended",Anxiety
21,21,Successfully online at 9am. Even sleeping in a state of restlessness what is wrong with me,Anxiety
22,22,Can't sleep. Just restless by nature,Anxiety
23,23,Already worried about picking up the phone,Anxiety
24,24,a little restless. a little restless. always feel guilty. sorry if i can't be the best as i've been :',Anxiety
25,25,I've been so restless since this morning,Anxiety
26,26,it makes you feel restless,Anxiety
27,27,Sleepy but restless when you sleep,Anxiety
28,28,Why is this cave... I'm already in a bad mood and then my heart seems to be beating really fast... I'm really nervous. Is there something wrong???,Anxiety
29,29,"He is very busy, He is restless, geez, what's going on?",Anxiety
